iter	Passed	Remaining
0	17	53609
1	35	52505
2	49	49828
3	66	49531
4	82	49241
5	97	48714
6	114	49088
7	132	49547
8	148	49234
9	164	49075
10	178	48613
11	196	48811
12	212	48716
13	228	48632
14	245	48877
15	262	48984
16	278	48840
17	295	48958
18	313	49116
19	330	49183
20	346	49182
21	363	49158
22	379	49108
23	398	49381
24	416	49567
25	431	49366
26	448	49365
27	464	49320
28	480	49227
29	497	49278
30	513	49213
31	531	49282
32	549	49405
33	566	49391
34	582	49326
35	599	49375
36	615	49302
37	633	49415
38	650	49351
39	666	49350
40	683	49353
41	701	49391
42	716	49284
43	733	49258
44	748	49180
45	765	49126
46	781	49094
47	797	49056
48	813	49015
49	831	49085
50	849	49110
51	864	48988
52	880	48982
53	896	48893
54	912	48875
55	928	48792
56	945	48825
57	961	48791
58	980	48866
59	997	48869
60	1013	48843
61	1029	48768
62	1046	48786
63	1063	48768
64	1078	48707
65	1094	48657
66	1112	48690
67	1130	48727
68	1148	48807
69	1165	48788
70	1183	48821
71	1200	48833
72	1216	48768
73	1233	48760
74	1249	48722
75	1266	48733
76	1282	48702
77	1298	48662
78	1315	48656
79	1336	48767
80	1352	48736
81	1368	48692
82	1383	48608
83	1402	48696
84	1419	48679
85	1435	48646
86	1451	48609
87	1467	48557
88	1483	48508
89	1498	48456
90	1516	48479
91	1533	48469
92	1548	48407
93	1563	48334
94	1581	48374
95	1598	48359
96	1613	48279
97	1628	48237
98	1643	48173
99	1660	48159
100	1676	48110
101	1691	48057
102	1706	48003
103	1723	47980
104	1737	47907
105	1753	47885
106	1770	47867
107	1784	47797
108	1799	47738
109	1817	47752
110	1833	47712
111	1851	47736
112	1867	47702
113	1884	47703
114	1900	47677
115	1919	47730
116	1939	47781
117	1955	47751
118	1971	47741
119	1987	47694
120	2003	47666
121	2018	47619
122	2036	47633
123	2053	47617
124	2069	47599
125	2087	47608
126	2102	47567
127	2118	47531
128	2132	47469
129	2149	47464
130	2166	47446
131	2182	47427
132	2199	47409
133	2215	47394
134	2231	47358
135	2249	47370
136	2266	47356
137	2281	47314
138	2296	47277
139	2312	47250
140	2329	47231
141	2345	47208
142	2360	47168
143	2376	47140
144	2390	47074
145	2406	47044
146	2422	47008
147	2436	46957
148	2455	46977
149	2472	46977
150	2487	46925
151	2506	46957
152	2525	46986
153	2540	46954
154	2557	46936
155	2572	46902
156	2589	46887
157	2604	46856
158	2623	46881
159	2642	46906
160	2656	46848
161	2672	46823
162	2689	46805
163	2704	46764
164	2719	46725
165	2733	46673
166	2748	46623
167	2765	46616
168	2781	46597
169	2798	46582
170	2812	46536
171	2828	46509
172	2848	46547
173	2861	46479
174	2880	46499
175	2897	46490
176	2912	46446
177	2928	46423
178	2947	46448
179	2964	46451
180	2979	46409
181	2994	46366
182	3009	46328
183	3025	46310
184	3041	46280
185	3057	46261
186	3072	46219
187	3086	46173
188	3102	46137
189	3119	46129
190	3134	46105
191	3150	46082
192	3167	46070
193	3181	46022
194	3197	45993
195	3212	45957
196	3228	45940
197	3244	45910
198	3262	45916
199	3279	45909
200	3294	45877
201	3312	45879
202	3328	45867
203	3346	45863
204	3376	46031
205	3390	45984
206	3409	46006
207	3424	45973
208	3442	45966
209	3459	45960
210	3473	45911
211	3490	45899
212	3506	45875
213	3527	45922
214	3543	45903
215	3559	45878
216	3573	45836
217	3590	45815
218	3604	45775
219	3620	45748
220	3635	45717
221	3652	45700
222	3668	45678
223	3684	45662
224	3699	45621
225	3714	45590
226	3730	45576
227	3745	45539
228	3761	45512
229	3777	45489
230	3794	45482
231	3809	45452
232	3827	45448
233	3844	45439
234	3860	45416
235	3876	45397
236	3894	45398
237	3910	45386
238	3926	45363
239	3942	45333
240	3957	45302
241	3974	45291
242	3989	45262
243	4005	45241
244	4020	45205
245	4036	45185
246	4052	45172
247	4069	45161
248	4086	45153
249	4101	45121
250	4117	45099
251	4133	45070
252	4148	45038
253	4163	45016
254	4180	44998
255	4195	44968
256	4211	44952
257	4228	44940
258	4242	44901
259	4257	44871
260	4274	44854
261	4292	44860
262	4308	44834
263	4325	44831
264	4341	44804
265	4357	44783
266	4372	44752
267	4386	44717
268	4402	44693
269	4418	44679
270	4433	44650
271	4449	44621
272	4465	44607
273	4480	44576
274	4496	44559
275	4512	44532
276	4531	44547
277	4548	44532
278	4566	44539
279	4584	44536
280	4599	44505
281	4615	44486
282	4630	44453
283	4645	44424
284	4661	44405
285	4677	44388
286	4698	44410
287	4713	44385
288	4732	44390
289	4750	44391
290	4766	44375
291	4782	44354
292	4798	44328
293	4814	44316
294	4831	44306
295	4841	44228
296	4860	44234
297	4876	44212
298	4892	44195
299	4908	44180
300	4925	44163
301	4941	44143
302	4958	44133
303	4973	44105
304	4990	44092
305	5005	44066
306	5022	44053
307	5038	44036
308	5053	44006
309	5068	43984
310	5085	43970
311	5102	43962
312	5118	43943
313	5141	43980
314	5160	43987
315	5174	43952
316	5189	43921
317	5204	43896
318	5222	43895
319	5238	43871
320	5254	43851
321	5270	43837
322	5286	43812
323	5301	43785
324	5315	43752
325	5332	43736
326	5348	43723
327	5365	43710
328	5382	43696
329	5396	43663
330	5412	43642
331	5426	43611
332	5443	43597
333	5458	43570
334	5475	43560
335	5493	43558
336	5509	43539
337	5523	43500
338	5540	43490
339	5559	43494
340	5576	43485
341	5594	43478
342	5610	43462
343	5627	43448
344	5644	43437
345	5660	43418
346	5675	43393
347	5693	43385
348	5708	43359
349	5724	43341
350	5741	43334
351	5757	43312
352	5772	43287
353	5789	43274
354	5805	43252
355	5824	43255
356	5840	43239
357	5857	43230
358	5873	43209
359	5890	43193
360	5905	43170
361	5920	43145
362	5936	43128
363	5952	43109
364	5969	43097
365	5984	43065
366	5999	43045
367	6015	43026
368	6033	43017
369	6049	43002
370	6064	42973
371	6081	42963
372	6096	42938
373	6114	42928
374	6129	42905
375	6144	42883
376	6161	42866
377	6176	42842
378	6193	42832
379	6209	42814
380	6225	42795
381	6242	42782
382	6260	42774
383	6276	42760
